rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/actor_loss,train/critic_loss,train/ent_coef_loss,rollout/ep_rew_mean,time/episodes,train/learning_rate,time/fps,train/n_updates,train/ent_coef
244.2,618,2442,-1.8373512029647827,1.7293293476104736,-5.9873504638671875,-19.065717399999997,10,0.0003,3,2341,0.10300298035144806
281.3,1328,5626,-5.5257649421691895,1.0852243900299072,-2.3229057788848877,-11.53059345,20,0.0003,4,5525,0.05058442801237106
301.9,2058,9057,-8.265796661376953,0.9796934127807617,0.16870960593223572,-14.280659633333332,30,0.0003,4,8956,0.03794686868786812
298.75,2698,11950,-11.125807762145996,0.7867467999458313,0.14651934802532196,-15.884818849999998,40,0.0003,4,11849,0.044166553765535355
293.38,3325,14669,-10.469515800476074,2.4278690814971924,-1.0638582706451416,-18.368816719999998,50,0.0003,4,14568,0.03510584682226181
281.4,3883,16884,-10.677766799926758,7.289384841918945,-0.22460061311721802,-18.017750616666667,60,0.0003,4,16783,0.04153251275420189
282.8857142857143,4536,19802,-12.855201721191406,3.2908711433410645,-0.34199821949005127,-16.34209082857143,70,0.0003,4,19701,0.05060553550720215
270.4,5055,21632,-13.967964172363281,2.134169101715088,0.0679074376821518,-14.405788387500001,80,0.0003,4,21531,0.04654505103826523
260.43333333333334,5582,23439,-14.563541412353516,1.582754135131836,-0.4772149324417114,-17.410314144444445,90,0.0003,4,23338,0.05115293338894844
258.29,6162,25829,-14.100340843200684,2.183788299560547,-0.3300125002861023,-14.279745730000004,100,0.0003,4,25728,0.05368991941213608
263.9,6835,28832,-14.52343463897705,6.166791915893555,0.16407233476638794,-13.314621769999999,110,0.0003,4,28731,0.05359402671456337
255.51,7409,31177,-14.514738082885742,10.182656288146973,-0.16290882229804993,-16.29461532,120,0.0003,4,31076,0.052206799387931824
243.33,7959,33390,-13.482748031616211,10.092695236206055,-0.061431869864463806,-15.932557630000002,130,0.0003,4,33289,0.05053576081991196
229.57,8431,34907,-13.069753646850586,5.415433883666992,-0.15893244743347168,-19.32679345,140,0.0003,4,34806,0.04638395085930824
235.9,9149,38259,-11.876277923583984,15.293254852294922,-1.473909854888916,-17.913396340000002,150,0.0003,4,38158,0.044608648866415024
256.55,9988,42539,-11.220619201660156,13.889098167419434,-0.40283092856407166,-13.813984229999999,160,0.0003,4,42438,0.04652005434036255
262.82,10743,46084,-11.284322738647461,3.477418899536133,-0.09691901504993439,-12.357226559999997,170,0.0003,4,45983,0.046772394329309464
283.5,11557,49982,-11.663744926452637,3.0496644973754883,-0.036897026002407074,-10.82063913,180,0.0003,4,49881,0.04245816543698311
289.07,12135,52346,-11.563480377197266,10.167518615722656,0.11223109066486359,-7.889113019999999,190,0.0003,4,52245,0.04123349115252495
292.66,12779,55095,-11.144043922424316,4.348374366760254,0.3682963252067566,-9.679870269999999,200,0.0003,4,54994,0.045038703829050064
287.36,13382,57568,-11.368551254272461,56.699790954589844,0.39430102705955505,-8.561559700000002,210,0.0003,4,57467,0.042676977813243866
302.87,14183,61464,-10.340219497680664,2.298089027404785,-0.3463635742664337,-2.6665087499999998,220,0.0003,4,61363,0.04281962290406227
309.38,14841,64328,-10.353836059570312,9.866605758666992,-0.04199965298175812,-1.7184570399999999,230,0.0003,4,64227,0.04212396219372749
321.3,15472,67037,-10.407123565673828,1.476572036743164,0.13929954171180725,6.0965365700000005,240,0.0003,4,66936,0.04181826487183571
313.14,16084,69573,-9.77786636352539,6.246038436889648,0.3303658962249756,6.786774390000001,250,0.0003,4,69472,0.04067320004105568
289.51,16606,71490,-8.750971794128418,4.155757904052734,0.9446637630462646,2.82246128,260,0.0003,4,71389,0.045115794986486435
281.2,17240,74204,-9.219988822937012,3.105461597442627,0.5758731961250305,2.24007588,270,0.0003,4,74103,0.04785088449716568
267.11,17847,76693,-10.447887420654297,1.6084082126617432,0.8538413047790527,-0.6232789000000006,280,0.0003,4,76592,0.047549907118082047
266.65,18449,79011,-10.36148452758789,5.490607261657715,-0.4239446520805359,0.34985916999999955,290,0.0003,4,78910,0.04956437274813652
263.36,19047,81431,-10.138240814208984,2.576458692550659,-0.43795982003211975,0.42928159999999993,300,0.0003,4,81330,0.050722669810056686
252.98,19505,82866,-9.679804801940918,6.140921592712402,-0.10927760601043701,-1.84521296,310,0.0003,4,82765,0.04945286363363266
236.73,20094,85137,-11.223260879516602,1.4893804788589478,0.20146319270133972,-5.163336780000001,320,0.0003,4,85036,0.04851941764354706
230.21,20677,87349,-10.54120922088623,4.0719804763793945,0.06324796378612518,-7.14112364,330,0.0003,4,87248,0.050719164311885834
222.2,21198,89257,-9.446859359741211,5.79667854309082,0.3352527618408203,-10.510731350000004,340,0.0003,4,89156,0.04589129611849785
222.69,21812,91842,-10.689414978027344,4.328699111938477,-0.1814618855714798,-11.6494,350,0.0003,4,91741,0.049196742475032806
226.35,22377,94125,-10.925297737121582,20.390399932861328,-0.4159030020236969,-8.36131657,360,0.0003,4,94024,0.050259895622730255
220.69,22956,96273,-9.902706146240234,5.19923210144043,-0.7286432385444641,-8.96322618,370,0.0003,4,96172,0.04854936897754669
218.16,23537,98509,-10.314208984375,74.37615203857422,0.09599396586418152,-6.7222715399999995,380,0.0003,4,98408,0.04587043821811676
225.87,24213,101598,-9.734392166137695,8.599287033081055,0.39897701144218445,-7.923292710000001,390,0.0003,4,101497,0.04788414016366005
